BOROUGH_NAME,BUILDING CLASS CATEGORY,ZIP CODE,AGE,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,RESIDENTIAL UNITS,COMMERCIAL UNITS
Queens,01 ONE FAMILY DWELLINGS,11370.0,85.0,1.0,3000.0,1512.0,1.0,0.0
Brooklyn,08 RENTALS - ELEVATOR APARTMENTS,11229.0,6.0,29.0,4950.0,21580.0,29.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11420.0,100.0,1.0,2520.0,1056.0,1.0,0.0
Queens,02 TWO FAMILY DWELLINGS,11435.0,105.0,2.0,2400.0,2380.0,2.0,0.0
Staten Island,02 TWO FAMILY DWELLINGS,10314.0,75.0,2.0,4040.0,2055.0,2.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11210.0,100.0,1.0,4000.0,2190.0,1.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10303.0,37.0,1.0,1330.0,1120.0,1.0,0.0
Brooklyn,11 SPECIAL CONDO BILLING LOTS,11219.0,4.0,16.0,5017.0,18074.0,16.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11234.0,105.0,1.0,2150.0,1120.0,1.0,0.0
Brooklyn,22 STORE BUILDINGS,11203.0,94.0,1.0,4000.0,2456.0,0.0,1.0
Brooklyn,02 TWO FAMILY DWELLINGS,11229.0,105.0,2.0,3200.0,2332.0,2.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10466.0,100.0,1.0,1993.0,1496.0,1.0,0.0
Brooklyn,01 ONE FAMILY DWELLINGS,11225.0,115.0,1.0,2000.0,2820.0,1.0,0.0
Bronx,37 RELIGIOUS FACILITIES,10468.0,73.0,1.0,5665.0,4600.0,0.0,1.0
Staten Island,02 TWO FAMILY DWELLINGS,10314.0,100.0,2.0,3920.0,2464.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11428.0,100.0,1.0,4000.0,1463.0,1.0,0.0
Brooklyn,22 STORE BUILDINGS,11223.0,97.0,1.0,713.0,694.0,0.0,1.0
Brooklyn,03 THREE FAMILY DWELLINGS,11234.0,60.0,3.0,2167.0,2999.0,3.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10466.0,105.0,2.0,2625.0,1280.0,2.0,0.0
Queens,01 ONE FAMILY DWELLINGS,11413.0,85.0,1.0,2000.0,1664.0,1.0,0.0
Bronx,07 RENTALS - WALKUP APARTMENTS,10467.0,2.0,8.0,2933.0,6561.0,8.0,0.0
Brooklyn,02 TWO FAMILY DWELLINGS,11220.0,115.0,3.0,1480.0,4032.0,2.0,1.0
Staten Island,05 TAX CLASS 1 VACANT LAND,10301.0,0.0,,7680.0,,0.0,0.0
Staten Island,01 ONE FAMILY DWELLINGS,10312.0,60.0,1.0,4000.0,2008.0,1.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10466.0,85.0,1.0,2060.0,1620.0,1.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11223.0,100.0,3.0,2000.0,2436.0,3.0,0.0
Bronx,02 TWO FAMILY DWELLINGS,10452.0,124.0,2.0,5000.0,2174.0,2.0,0.0
Brooklyn,03 THREE FAMILY DWELLINGS,11209.0,126.0,3.0,3717.0,3064.0,3.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11212.0,95.0,4.0,2500.0,3198.0,4.0,0.0
Brooklyn,07 RENTALS - WALKUP APARTMENTS,11220.0,94.0,4.0,2504.0,3750.0,4.0,0.0
Bronx,01 ONE FAMILY DWELLINGS,10466.0,66.0,1.0,2375.0,1744.0,1.0,0.0
